year,id,topfederalrate,topstaterate,state_full,state,millionaire_shr_tr,millionaire_share
2015,41,37.98,7.08,"SOUTH CAROLINA","SC",.0016408,.0082566
2016,41,37.98,7.08,"SOUTH CAROLINA","SC",.0017606,.0092692
2017,41,37.98,7.08,"SOUTH CAROLINA","SC",.0018968,.0086937
2001,42,40.27,0,"SOUTH DAKOTA","SD",.0007409,.0013857
2010,42,35,0,"SOUTH DAKOTA","SD",.0014882,.0021172
2011,42,35,0,"SOUTH DAKOTA","SD",.001677,.002315
2012,42,35,0,"SOUTH DAKOTA","SD",.0025545,.0027464
2013,42,40.79,0,"SOUTH DAKOTA","SD",.0018902,.0022866
2014,42,40.79,0,"SOUTH DAKOTA","SD",.0023605,.0024028
2015,42,40.79,0,"SOUTH DAKOTA","SD",.0023834,.0022961
2016,42,40.79,0,"SOUTH DAKOTA","SD",.0022121,.0021979
2017,42,40.79,0,"SOUTH DAKOTA","SD",.0022414,.0019228
2001,43,40.27,0,"TENNESSEE","TN",.0009339,.0125873
2010,43,35,0,"TENNESSEE","TN",.0012742,.0131041
2011,43,35,0,"TENNESSEE","TN",.0013328,.0129805
2012,43,35,0,"TENNESSEE","TN",.001839,.013732
2013,43,40.79,0,"TENNESSEE","TN",.0015061,.0128401
2014,43,40.79,0,"TENNESSEE","TN",.0017928,.0130047
2015,43,40.79,0,"TENNESSEE","TN",.0019393,.013359
2016,43,40.79,0,"TENNESSEE","TN",.0020594,.0147161
2017,43,40.79,0,"TENNESSEE","TN",.0022398,.0139099
2001,44,40.27,0,"TEXAS","TX",.0014048,.0681156
2010,44,35,0,"TEXAS","TX",.0021699,.0862008
2011,44,35,0,"TEXAS","TX",.0023952,.0917494
2012,44,35,0,"TEXAS","TX",.003152,.0945176
2013,44,40.79,0,"TEXAS","TX",.0026807,.0934275
2014,44,40.79,0,"TEXAS","TX",.0032388,.0962101
2015,44,40.79,0,"TEXAS","TX",.0031074,.0875757
2016,44,40.79,0,"TEXAS","TX",.0026254,.0759932
2017,44,40.79,0,"TEXAS","TX",.0035117,.089944
2001,45,37.92,6.01,"UTAH","UT",.0008461,.0042572
2010,45,33.25,5,"UTAH","UT",.0013617,.005582
2011,45,33.25,5,"UTAH","UT",.0013927,.0054183
2012,45,33.25,5,"UTAH","UT",.0021123,.0064255
2013,45,38.81,5,"UTAH","UT",.00168,.0058924
2014,45,38.81,5,"UTAH","UT",.0019973,.0060441
2015,45,38.81,5,"UTAH","UT",.0021366,.006262
